,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed
76,Caninde,BR,-4.3589,-39.3117,24,82,74.55,3.58
77,Santa Barbara,US,34.7333,-120.0343,90,100,49.33,0.0
78,Bandarbeyla,SO,9.4942,50.8122,100,44,93.02,23.85
79,Rosetta,EG,31.4044,30.4164,11,57,80.22,10.49
80,Micheweni,TZ,-4.9667,39.8333,38,71,80.58,10.13
81,Kodiak,US,57.79,-152.4072,1,87,38.71,4.61
82,Dodge City,US,37.7528,-100.0171,20,96,63.27,10.0
83,Torbay,CA,47.6666,-52.7314,75,90,45.25,12.66
84,Caxito,AO,-8.5785,13.6643,95,58,77.65,1.7
85,Ginir,ET,7.1333,40.7,43,36,78.44,3.0
86,Shimoda,JP,34.6667,138.95,29,85,73.51,10.45
87,Hermanus,ZA,-34.4187,19.2345,8,53,55.8,6.17
88,Zhezkazgan,KZ,47.8043,67.7144,100,17,74.66,8.59
89,Tasiilaq,GL,65.6145,-37.6368,100,97,41.16,5.99
90,Pueblo Rico,CO,5.2383,-76.0364,90,98,62.11,2.66
91,Karlivka,UA,49.4567,35.1295,75,24,65.68,10.11
92,Bambous Virieux,MU,-20.3428,57.7575,40,73,77.25,11.5
93,Pokhara,NP,28.2333,83.9833,100,95,71.33,3.13
94,Guerrero Negro,MX,27.9769,-114.0611,0,86,69.57,12.5
95,Nanchang,CN,28.6833,115.8833,20,57,82.83,8.1
96,Moquegua,PE,-17.1956,-70.9353,100,58,57.54,0.2
97,San Patricio,US,28.017,-97.5169,0,81,75.78,5.39
98,San Joaquin,US,37.9333,-121.3011,1,62,65.07,4.61
99,Morozovsk,RU,48.3539,41.8261,34,42,75.04,13.02
100,Churapcha,RU,62.0025,132.4325,65,62,55.45,5.21
101,Abu Samrah,SY,35.3029,37.1841,0,36,83.97,11.05
102,Hithadhoo,MV,-0.6,73.0833,84,74,82.44,4.12
103,Santa Cruz,BO,-17.8,-63.1667,82,58,63.05,12.53
104,Cidreira,BR,-30.1811,-50.2056,15,72,54.0,10.71
105,Provideniya,RU,64.3833,-173.3,100,79,41.32,6.73
106,Sesvete,HR,45.8311,16.1164,0,50,77.67,3.44
107,Oktyabrskoye,RU,43.0645,44.7417,40,47,77.14,6.71
108,Alta Floresta,BR,-9.8756,-56.0861,8,86,70.97,0.29
109,Ribeira Grande,PT,38.5167,-28.7,20,78,72.0,2.3
110,Bilma,NE,18.6853,12.9164,2,17,97.21,12.08
111,Castro,BR,-24.7911,-50.0119,39,97,60.6,3.67
112,Khor,RU,47.8861,134.9464,36,59,59.9,4.47
113,Lilongwe,MW,-13.9669,33.7873,40,38,79.0,11.5
114,Bairiki,KI,1.3292,172.9752,75,78,82.4,13.8
115,Ierapetra,GR,35.01,25.7353,0,45,80.78,5.64
116,Bubaque,GW,11.2833,-15.8333,94,80,80.73,10.56
117,Deputatskiy,RU,69.3,139.9,97,72,45.5,4.23
118,Baykit,RU,61.67,96.37,100,71,46.35,4.76
119,Pombia,IT,45.653,8.6336,75,82,69.15,5.75
120,Hofn,IS,64.2539,-15.2082,90,93,50.02,5.75
121,Gigmoto,PH,13.7796,124.39,77,76,83.71,4.7
122,Bethel,US,41.3712,-73.414,40,92,69.6,3.44
123,Karratha,AU,-20.7377,116.8463,31,46,76.03,18.97
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,57,90,71.69,2.26
125,Staraya Kulatka,RU,52.7167,47.6167,0,31,62.29,15.93
126,Bapatla,IN,15.9,80.4667,18,50,93.36,5.75
127,Mahebourg,MU,-20.4081,57.7,40,73,77.29,11.5
128,Coahuayana,MX,18.7333,-103.6833,78,93,72.7,3.8
129,Cozumel,MX,20.5083,-86.9458,75,94,77.07,3.44
130,Kieta,PG,-6.2167,155.6333,100,94,75.13,7.2
131,Graham,US,47.0529,-122.2943,90,87,58.71,3.0
132,Georgetown,MY,5.4112,100.3354,20,72,87.84,1.01
133,Powell River,CA,49.8496,-124.5361,97,86,52.41,10.51
134,Clyde River,CA,70.4692,-68.5914,4,63,27.64,3.18
135,Sitka,US,57.0531,-135.33,90,82,51.69,6.91
136,Avarua,CK,-21.2078,-159.775,75,83,75.25,8.05
137,Vila Velha,BR,-20.3297,-40.2925,0,83,73.35,14.97
138,Preobrazheniye,RU,42.9019,133.9064,84,80,60.84,2.51
139,Bengkulu,ID,-3.8004,102.2655,59,69,83.97,7.43
140,Muros,ES,42.7762,-9.0603,74,78,70.75,5.59
141,Rochegda,RU,62.8,43.25,99,80,42.73,8.75
142,Kapuskasing,CA,49.4169,-82.4331,90,93,51.8,8.05
143,Broome,US,42.2506,-75.833,1,85,69.31,1.99
144,Qaqortoq,GL,60.7167,-46.0333,0,60,30.7,2.21
145,Touros,BR,-5.1989,-35.4608,53,85,76.1,12.68
146,Svetlyy,RU,54.675,20.1347,52,61,60.85,4.7
147,Ahipara,NZ,-35.1667,173.1667,100,96,59.02,6.13
148,Aasiaat,GL,68.7098,-52.8699,69,96,23.36,5.37
149,Tallahassee,US,30.4383,-84.2807,1,97,73.42,3.44
150,Xining,CN,36.6167,101.7667,100,80,52.32,2.46
151,Mayo,US,38.8876,-76.5119,1,88,72.43,1.99
152,Kattivakkam,IN,13.2167,80.3167,90,55,93.29,11.83
153,Ashdod,IL,31.8167,34.65,0,61,86.43,8.5
154,Krasnoborsk,RU,61.5598,45.934,100,96,39.16,7.78
155,Faanui,PF,-16.4833,-151.75,5,72,78.94,19.24
156,Tautira,PF,-17.7333,-149.15,33,70,75.22,15.12
157,Carnarvon,AU,-24.8667,113.6333,0,52,69.87,12.66
158,Lompoc,US,34.6391,-120.4579,90,96,55.44,0.0
159,Prestice,CZ,49.573,13.3335,75,85,70.07,2.3
160,Cayenne,GF,4.9333,-52.3333,40,90,78.1,0.0
161,Tabuk,PH,17.4189,121.4443,11,75,86.86,2.51
162,Boyolangu,ID,-8.1181,111.8935,100,79,79.7,8.08
163,Tayoltita,MX,24.0833,-105.9333,99,92,67.42,3.15
164,Rawson,AR,-43.3002,-65.1023,2,50,49.57,17.47
165,La Palma,US,33.8464,-118.0467,90,90,63.57,1.99
166,Uyuni,BO,-20.4597,-66.825,15,31,34.2,10.71
167,Holme,DK,56.1138,10.1725,100,83,60.49,14.54
168,Comodoro Rivadavia,AR,-45.8667,-67.5,0,54,51.66,18.41
169,Cabedelo,BR,-6.9811,-34.8339,57,83,75.87,10.96
170,Krasnoselkup,RU,65.7,82.4667,100,87,41.88,3.15
171,Marsa Matruh,EG,31.3525,27.2453,0,51,81.14,15.73
172,Noumea,NC,-22.2763,166.4572,100,90,66.18,11.79
173,Gat,IL,31.61,34.7642,0,39,87.55,8.1
174,Asau,RO,46.4333,26.4,34,55,72.95,3.38
175,Komsomolskiy,UZ,40.4272,71.7189,0,12,90.32,4.61
176,Kununurra,AU,-15.7667,128.7333,99,51,87.78,6.91
177,Buraydah,SA,26.326,43.975,91,12,97.25,4.34
178,Shellbrook,CA,53.2168,-106.4011,96,54,49.23,6.98
179,Zaozerne,UA,45.1582,33.2787,87,44,78.26,12.41
180,Victoria,HK,22.2855,114.1577,51,77,90.36,13.6
181,Arshan,RU,46.2732,44.22,20,26,84.58,11.18
182,Naze,JP,28.3667,129.4833,88,81,81.52,11.7
183,Gweru,ZW,-19.45,29.8167,0,19,85.78,6.4
184,Burkburnett,US,34.0979,-98.5706,1,92,67.28,3.44
185,Westlock,CA,54.1502,-113.8688,100,90,47.44,15.97
186,Ladario,BR,-19.0047,-57.6017,13,81,67.89,3.47
187,Meulaboh,ID,4.1363,96.1285,80,65,84.42,5.86
188,Nantucket,US,41.2835,-70.0995,1,86,70.27,12.66
189,Sur,OM,22.5667,59.5289,100,38,92.75,6.62
190,Hobart,AU,-42.8794,147.3294,20,81,45.99,3.44
191,Mahon,ES,39.8885,4.2658,20,83,81.16,11.5
192,Sao Filipe,CV,14.8961,-24.4956,91,81,80.24,8.55
193,Faya,SA,18.3851,42.4509,77,25,81.12,3.27
194,Fortuna,US,40.5982,-124.1573,1,100,48.24,6.91
195,Kamenka,RU,51.3223,42.7678,10,33,61.61,15.84
196,Pacific Grove,US,36.6177,-121.9166,27,91,56.34,1.99
197,Shimanovsk,RU,52.0,127.7,100,76,59.65,7.72
198,Chuy,UY,-33.6971,-53.4616,0,93,42.78,7.18
199,San Cristobal,VE,7.7669,-72.225,49,86,64.94,1.83
200,Simga,IN,21.6333,81.7,100,88,88.32,11.43
201,Kodinar,IN,20.7903,70.7031,98,81,85.14,8.28
202,Prieska,ZA,-29.6641,22.7474,0,27,60.67,6.24
203,Yatou,CN,37.15,122.3833,49,77,72.48,7.76
204,Hvolsvollur,IS,63.7533,-20.2243,95,88,50.67,1.5
205,Teahupoo,PF,-17.8333,-149.2667,36,71,69.76,15.52
206,Rio Grande,BR,-32.035,-52.0986,0,81,45.95,11.81
207,Kenai,US,60.5544,-151.2583,75,75,48.69,13.8
208,Cradock,ZA,-32.1642,25.6192,99,56,56.08,10.2
209,Bathsheba,BB,13.2167,-59.5167,20,83,81.21,12.66
210,Whitehorse,CA,60.7161,-135.0538,75,87,41.77,3.44
211,Marsh Harbour,BS,26.5412,-77.0636,4,72,81.01,6.46
212,Sakakah,SA,29.9697,40.2064,0,20,94.57,5.01
213,Concordia,AR,-31.393,-58.0209,0,68,45.05,4.18
214,Constitucion,CL,-35.3333,-72.4167,100,69,46.83,5.39
215,San Jeronimo,PE,-11.9472,-75.2829,100,67,52.86,1.92
216,Suicheng,CN,33.8963,117.9331,100,73,77.9,5.55
217,Progreso,MX,21.2833,-89.6667,100,88,76.1,8.14
218,Brae,GB,60.3964,-1.353,99,89,57.11,11.32
219,Alofi,NU,-19.0595,-169.9187,12,94,73.29,5.75
220,Kolpashevo,RU,58.3131,82.9089,100,86,43.18,5.5
221,Adrar,MR,20.5022,-10.0711,6,23,92.86,21.59
222,South Valley,US,35.0101,-106.6781,40,40,69.64,24.16
223,Ketchikan,US,55.3422,-131.6461,90,93,48.67,3.44
224,Pereslavl-Zalesskiy,RU,56.7393,38.8563,100,88,45.36,11.03
225,Isangel,VU,-19.55,169.2667,8,78,75.31,4.61
226,Thompson,CA,55.7435,-97.8558,75,100,39.36,0.0
227,Mount Gambier,AU,-37.8333,140.7667,90,87,49.91,6.91
228,Cadiz,ES,36.5,-5.75,35,86,68.68,7.49
229,Sorong,ID,-0.8833,131.25,85,79,80.78,3.83
230,Cape Town,ZA,-33.9258,18.4232,75,62,60.62,1.99
231,Marawi,PH,7.9986,124.2928,98,95,73.65,3.13
232,San Jose,US,37.3394,-121.895,1,84,57.76,3.44
233,Shingu,JP,33.7333,135.9833,86,90,75.9,2.91
234,Bitung,ID,1.4451,125.1824,55,79,79.65,2.33
235,Geraldton,AU,-28.7667,114.6,90,88,61.21,13.8
236,Nexo,DK,55.0607,15.1306,100,80,64.49,15.93
237,Bud,US,39.447,-86.1758,100,98,67.24,7.56
238,Wainwright,CA,52.839,-110.8572,20,57,54.68,5.39
239,Orangeburg,US,33.4918,-80.8557,90,94,68.65,0.0
240,Limerick,IE,52.6647,-8.6231,88,90,60.75,6.26
241,Maltahohe,NA,-24.8333,16.9833,0,6,69.33,4.88
242,Hohhot,CN,40.8106,111.6522,40,94,61.09,2.24
243,Kahului,US,20.8947,-156.47,40,78,74.39,9.22
244,Nagar Karnul,IN,16.4821,78.3247,100,72,80.19,10.54
245,Tarazona,ES,41.9,-1.7333,37,59,66.13,1.52
246,Valparaiso,CL,-33.0393,-71.6273,20,93,44.24,3.44
247,Goderich,CA,43.7501,-81.7165,76,88,58.01,2.3
248,Hasaki,JP,35.7333,140.8333,9,80,72.0,16.08
249,Reconquista,AR,-29.15,-59.65,0,51,46.89,6.13
250,Shirokiy,RU,49.758,129.523,100,74,60.03,5.01
251,Torrington,US,41.8007,-73.1212,100,96,68.86,1.01
252,Cherlak,RU,54.155,74.8055,58,29,73.11,13.85
253,Oros,BR,-6.2444,-38.9136,75,75,75.47,3.15
254,Bredasdorp,ZA,-34.5322,20.0403,5,48,60.12,8.05
255,Caravelas,BR,-17.7125,-39.2481,1,84,73.08,10.36
256,Nam Dinh,VN,20.4167,106.1667,100,82,83.32,7.58
257,Tabas,IR,33.5959,56.9244,0,5,97.95,0.87
258,Alugan,PH,12.2188,125.4808,100,75,82.53,7.14
259,Lakes Entrance,AU,-37.8811,147.981,18,79,49.15,6.4
260,Codrington,AU,-38.2667,141.9667,100,66,51.31,10.0
261,Cabo San Lucas,MX,22.8909,-109.9124,17,79,80.28,10.04
262,Rorvik,NO,64.8621,11.2373,85,67,49.98,10.58
263,Roma,US,43.2128,-75.4557,40,85,73.31,9.22
264,Fergus Falls,US,46.283,-96.0776,1,90,48.51,4.61
265,Qena,EG,26.1615,32.7183,0,18,98.62,11.72
266,Barmer,IN,25.75,71.3833,71,40,97.52,14.47
267,Sandpoint,US,48.2766,-116.5533,90,79,55.63,0.0
268,Kalengwa,ZM,-13.4659,25.0027,29,17,92.59,7.85
269,Kihei,US,20.785,-156.4656,40,78,74.21,9.22
270,Glenwood Springs,US,39.5505,-107.3248,1,36,57.25,5.75
271,Camacha,PT,33.0833,-16.3333,20,73,72.81,18.41
272,Coffs Harbour,AU,-30.3,153.1333,40,68,60.89,21.85
273,Pangkalanbuun,ID,-2.6833,111.6167,100,66,84.78,3.11
274,Sovetskaya Gavan,RU,48.9723,140.2878,4,76,54.12,5.84
275,Airai,TL,-8.9266,125.4092,41,67,68.45,3.71
276,Wilmington,US,34.2257,-77.9447,1,95,72.1,0.0
277,Isabela,PH,6.7085,121.9711,56,78,82.83,7.16
278,Vao,NC,-22.6667,167.4833,70,88,70.68,20.36
279,Emporia,US,38.4039,-96.1817,1,94,66.4,3.44
280,Yamada,JP,39.4667,141.95,99,90,63.57,10.87
281,Fiumicino,IT,41.7675,12.2291,0,53,80.29,4.61
282,Kyzyl-Mazhalyk,RU,51.1333,90.6,81,28,62.08,2.04
283,Semey,KZ,50.4111,80.2275,0,16,75.42,6.71
284,Port Elizabeth,ZA,-33.918,25.5701,20,72,61.09,17.27
285,Kungurtug,RU,50.5994,97.5228,60,25,62.42,2.1
286,Swan Hill,AU,-35.3378,143.5544,5,53,52.61,8.52
287,Namibe,AO,-15.1961,12.1522,8,68,69.46,6.62
288,Ambovombe,MG,-25.1667,46.0833,0,41,85.08,6.44
289,Fasa,IR,28.9383,53.6482,0,6,94.24,4.61
290,Flinders,AU,-34.5833,150.8552,60,81,50.22,8.48
291,Bowen,AU,-20.0167,148.2333,19,57,62.82,15.03
292,Esperance,AU,-33.8667,121.9,57,65,73.24,17.85
293,Mareeba,AU,-17.0,145.4333,37,85,68.45,5.44
294,Norman Wells,CA,65.282,-126.8329,75,93,41.04,5.75
295,Ambon,ID,-3.6954,128.1814,40,89,80.74,4.61
296,Palora,EC,-1.7,-77.9333,10,87,61.34,3.6
297,Narrabri,AU,-30.3167,149.7833,4,54,53.69,1.14
298,Vila Franca Do Campo,PT,37.7167,-25.4333,29,72,70.21,3.06
299,Waingapu,ID,-9.6567,120.2641,59,63,85.24,14.83
300,Kaoma,ZM,-14.7833,24.8,79,17,93.06,8.77
301,Havelock,US,34.8791,-76.9013,0,95,72.34,2.71
302,Puerto Maldonado,PE,-12.6,-69.1833,17,84,72.37,1.07
303,Portland,US,45.5234,-122.6762,90,80,64.35,1.01
304,Palana,RU,59.1167,159.9667,17,82,39.31,5.88
305,Necsesti,RO,44.25,25.15,16,33,80.13,6.22
306,Turukhansk,RU,65.8167,87.9833,100,97,38.32,9.24
307,Khandbari,NP,27.3747,87.2039,100,81,76.62,1.3
308,Biltine,TD,14.5333,20.9167,5,50,87.03,6.85
309,Acarau,BR,-2.8856,-40.12,2,82,78.3,14.36
310,Djibo,BF,14.1022,-1.6306,96,58,84.56,11.25
311,Kirakira,SB,-10.4544,161.9205,81,85,78.6,9.19
312,Topolobampo,MX,25.6,-109.05,4,75,78.06,2.82
313,Ancud,CL,-41.8697,-73.8203,100,91,47.73,12.62
314,Buala,SB,-8.145,159.5921,79,82,80.55,7.02
315,Mahajanga,MG,-15.7167,46.3167,0,29,95.02,9.22
316,Opunake,NZ,-39.4556,173.8583,100,93,52.34,11.32
317,Lavrentiya,RU,65.5833,-171.0,100,82,40.37,6.2
318,Koundara,GN,12.4833,-13.3,100,86,78.3,5.03
319,Richards Bay,ZA,-28.783,32.0377,94,69,71.49,16.51
320,Belaya Gora,RU,68.5333,146.4167,17,68,43.72,12.12
321,Maragogi,BR,-9.0122,-35.2225,13,86,75.04,8.37
322,Hobyo,SO,5.3505,48.5268,39,59,85.77,25.7
323,Moree,AU,-29.4667,149.85,1,62,53.62,5.75
324,Port Hawkesbury,CA,45.6169,-61.3485,1,96,42.64,1.01
325,Mitu,CO,1.1983,-70.1733,67,99,69.62,1.45
326,Kasongo-Lunda,CD,-6.4667,16.8167,4,38,92.84,2.89
327,Kimbe,PG,-5.5502,150.1429,99,80,78.82,7.47
328,Hami,CN,42.8,93.45,1,12,86.38,2.86
329,Tommot,RU,58.9564,126.2925,100,82,59.18,5.48
330,Dourbali,TD,11.8091,15.8632,84,61,84.81,4.76
331,Periyakulam,IN,10.1167,77.55,98,52,100.53,6.44
332,Chimbote,PE,-9.0853,-78.5783,82,87,60.62,7.78
333,Yermakovskoye,RU,53.2831,92.4003,100,80,51.93,3.24
334,Arraias,BR,-12.9288,-46.9437,13,29,73.27,5.1
335,Puertollano,ES,38.6871,-4.1073,73,71,64.06,7.0
336,Carupano,VE,10.6678,-63.2585,2,87,76.62,6.2
337,Vestmannaeyjar,IS,63.4427,-20.2734,20,93,50.99,6.91
338,Irbeyskoye,RU,55.6428,95.4522,100,94,44.91,5.5
339,Ndjole,GA,-0.1783,10.7649,95,81,80.74,2.8
340,Ugoofaaru,MV,5.6667,73.0,70,70,83.08,17.25
341,Port Alfred,ZA,-33.5906,26.891,100,56,64.02,19.51
342,Matay,EG,28.419,30.7792,0,31,90.09,11.7
343,Arlit,NE,18.7369,7.3853,6,25,96.69,5.17
344,Severo-Kurilsk,RU,50.6789,156.125,13,88,48.63,8.9
345,Wad Madani,SD,14.4012,33.5199,80,52,88.52,8.81
346,Mityana,UG,0.4175,32.0228,29,33,88.5,4.65
347,Nabire,ID,-3.3667,135.4833,58,88,78.35,1.1
348,San Ramon,US,37.7799,-121.978,1,80,56.71,6.91
349,Bambanglipuro,ID,-7.95,110.2833,86,79,79.86,10.71
350,Saldanha,ZA,-33.0117,17.9442,8,51,62.65,10.65
351,Azad Shahr,IR,34.7909,48.5707,0,10,88.29,6.91
352,Zaysan,KZ,47.4667,84.8667,38,9,78.82,8.48
353,Tura,IN,25.5198,90.2201,100,86,82.08,0.67
354,Okhotsk,RU,59.3833,143.3,7,74,54.81,6.91
355,Praia Da Vitoria,PT,38.7333,-27.0667,40,94,66.45,1.68
356,Port Macquarie,AU,-31.4333,152.9167,55,74,55.36,12.8
357,Bosaso,SO,11.2842,49.1816,0,59,94.98,16.11
358,Hua Hin,TH,12.5707,99.9588,20,74,84.22,8.05
359,Porto Novo,BJ,6.4965,2.6036,100,80,82.22,1.97
360,Oranjemund,NA,-28.55,16.4333,83,55,59.74,16.28
361,Merauke,ID,-8.4667,140.3333,100,77,81.03,19.22
362,Port-Gentil,GA,-0.7193,8.7815,40,65,84.16,11.5
363,Carlyle,US,38.6103,-89.3726,100,93,67.24,4.0
364,Tamworth,GB,52.634,-1.6959,23,88,58.78,1.01
365,Kinablangan,PH,7.6947,126.5503,100,77,81.25,4.29
366,Arman,RU,59.7,150.1667,19,89,46.89,4.97
367,Kenora,CA,49.8167,-94.4337,1,71,54.57,4.61
368,Princeton,US,25.5384,-80.4089,1,87,76.71,4.61
369,Nanortalik,GL,60.1432,-45.2371,2,75,37.85,5.26
370,Fare,PF,-16.7,-151.0167,18,70,78.64,17.96
371,Viesca,MX,25.35,-102.8,73,50,78.37,2.3
372,Chiredzi,ZW,-21.05,31.6667,0,16,99.16,3.94
373,Luanda,AO,-8.8368,13.2343,40,78,77.0,5.75
374,Bobon,PH,12.5246,124.5636,83,79,82.56,8.79
375,Wanning,CN,18.8003,110.3967,100,73,84.87,10.87
376,Mar Del Plata,AR,-38.0023,-57.5575,0,93,35.62,5.75
377,Conceicao Do Araguaia,BR,-8.2578,-49.2647,0,88,71.73,2.3
378,Eisenach,DE,50.9833,10.3167,100,84,66.85,4.56
379,Launceston,AU,-41.45,147.1667,90,77,50.2,1.01
380,Avera,US,33.194,-82.5271,98,79,66.43,2.04
381,Kichera,RU,55.9375,110.0997,66,58,50.54,7.92
382,Zheleznodorozhnyy,RU,55.7503,38.0042,100,66,48.33,10.92
383,Maniitsoq,GL,65.4167,-52.9,5,54,32.86,5.61
384,Collie,AU,-33.3667,116.15,57,90,58.98,11.74
385,Dabrowa Tarnowska,PL,50.1746,20.9863,1,60,70.68,6.51
386,Mana,GF,5.6592,-53.7767,11,90,76.55,5.23
387,Saint George,US,37.1041,-113.5841,1,19,74.68,0.0
388,Cockburn Town,TC,21.4612,-71.1419,98,73,82.96,11.43
389,Asilah,MA,35.465,-6.0348,21,80,71.56,14.38
390,Kulmbach,DE,50.1,11.45,100,94,68.05,4.32
391,Mackay,AU,-21.15,149.2,27,68,64.38,5.75
392,Bestobe,KZ,52.4994,73.0975,56,19,72.99,12.88
393,Antofagasta,CL,-23.65,-70.4,78,83,56.48,5.3
394,San Lazaro,BZ,18.0387,-88.6622,92,97,74.35,1.99
395,Penza,RU,53.2007,45.0046,15,46,58.17,12.55
396,Ingham,US,42.6,-84.3833,1,94,61.45,0.0
397,Havre-Saint-Pierre,CA,50.2334,-63.5986,20,93,39.56,9.22
398,Necochea,AR,-38.5473,-58.7368,0,66,40.03,14.16
399,Muncar,ID,-8.4333,114.3333,94,78,81.66,6.24
400,Uige,AO,-7.6087,15.0613,58,66,78.73,3.83
401,Mildura,AU,-34.2,142.15,1,36,58.96,5.75
402,Half Moon Bay,US,37.4636,-122.4286,90,90,57.16,1.01
403,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,99,60,58.39,1.48
404,Savannah Bight,HN,16.45,-85.85,88,78,82.0,17.11
405,Trelew,AR,-43.249,-65.3051,3,48,48.63,15.28
406,Auki,SB,-8.7676,160.7034,82,88,77.47,5.53
407,Juneau,US,58.3019,-134.4197,90,97,47.7,9.22
408,Zhangjiakou,CN,40.81,114.8794,100,92,63.28,1.59
409,Egvekinot,RU,66.3167,-179.1667,35,86,29.62,2.95
410,Orlik,RU,52.5178,99.825,100,45,50.74,16.31
411,Sciacca,IT,37.5082,13.0881,66,46,81.32,6.67
412,Kosino,RU,58.4127,51.2782,100,94,41.99,5.39
